Method,Site,FarmingSystem,SampleRef,DistanceFromTR,Month,Year,Species,Sex,TaxGroup,Abundance
Pan,1,Arable,CB,0.5,5,2018,NA,NA,NA,0
Pan,1,Arable,CC,5,5,2018,NA,NA,NA,0
Pan,1,Arable,CC,5,5,2018,Apis mellifera,Unknown,Anthophila,1
Pan,1,Arable,CD,9.5,5,2018,NA,NA,NA,0
Pan,1,Arable,CE,9.5,5,2018,NA,NA,NA,0
Pan,1,Arable,CF,5,5,2018,NA,NA,NA,0
Pan,1,Arable,CG,0.5,5,2018,NA,NA,NA,0
Pan,1,Arable,CH,0,5,2018,NA,NA,NA,0
Pan,1,Arable,CI,0,5,2018,NA,NA,NA,0
Pan,1,Arable,CJ,0.5,5,2018,NA,NA,NA,0
Pan,1,Arable,CK,5,5,2018,NA,NA,NA,0
Pan,1,Arable,CL,9.5,5,2018,Andrena cineraria,F,Anthophila,1
Pan,1,Arable,CO,0.5,5,2018,NA,NA,NA,0
Pan,1,Agroforestry,TA,0,5,2018,NA,NA,NA,0
Pan,1,Agroforestry,TB,0.5,5,2018,NA,NA,NA,0
Pan,1,Agroforestry,TC,5,5,2018,NA,NA,NA,0
Pan,1,Agroforestry,TD,9.5,5,2018,NA,NA,NA,0
Pan,1,Agroforestry,TE,9.5,5,2018,NA,NA,NA,0
Pan,1,Agroforestry,TF,5,5,2018,NA,NA,NA,0
Pan,1,Agroforestry,TG,0.5,5,2018,NA,NA,NA,0
Pan,1,Agroforestry,TG,0.5,5,2018,Apis mellifera,Unknown,Anthophila,1
Pan,1,Agroforestry,TH,0,5,2018,NA,NA,NA,0
Pan,1,Agroforestry,TJ,0.5,5,2018,NA,NA,NA,0
Pan,1,Agroforestry,TJ,0.5,5,2018,Apis mellifera,Unknown,Anthophila,1
Pan,1,Agroforestry,TK,5,5,2018,NA,NA,NA,0
Pan,1,Agroforestry,TM,9.5,5,2018,NA,NA,NA,0
Pan,1,Agroforestry,TN,5,5,2018,NA,NA,NA,0
Pan,2,Arable,CA,0,5,2018,NA,NA,NA,0
Pan,2,Arable,CB,0.5,5,2018,NA,NA,NA,0
Pan,2,Arable,CC,5,5,2018,NA,NA,NA,0
Pan,2,Arable,CD,9.5,5,2018,Lasioglossum puncticolle,F,Anthophila,1
Pan,2,Arable,CE,9.5,5,2018,NA,NA,NA,0
Pan,2,Arable,CE,9.5,5,2018,Apis mellifera,Unknown,Anthophila,1
Pan,2,Arable,CF,5,5,2018,NA,NA,NA,0
Pan,2,Arable,CG,0.5,5,2018,NA,NA,NA,0
Pan,2,Arable,CH,0,5,2018,NA,NA,NA,0
Pan,2,Arable,CI,0,5,2018,NA,NA,NA,0
Pan,2,Arable,CJ,0.5,5,2018,NA,NA,NA,0
Pan,2,Arable,CK,5,5,2018,NA,NA,NA,0
Pan,2,Arable,CL,9.5,5,2018,Lasioglossum puncticolle,F,Anthophila,1
Pan,2,Arable,CM,9.5,5,2018,NA,NA,NA,0
Pan,2,Arable,CN,5,5,2018,NA,NA,NA,0
Pan,2,Arable,CO,0.5,5,2018,NA,NA,NA,0
Pan,2,Arable,CO,0.5,5,2018,Apis mellifera,Unknown,Anthophila,1
Pan,2,Agroforestry,TA,0,5,2018,NA,NA,NA,0
Pan,2,Agroforestry,TB,0.5,5,2018,NA,NA,NA,0
Pan,2,Agroforestry,TC,5,5,2018,NA,NA,NA,0
Pan,2,Agroforestry,TD,9.5,5,2018,NA,NA,NA,0
Pan,2,Agroforestry,TE,9.5,5,2018,NA,NA,NA,0
Pan,2,Agroforestry,TF,5,5,2018,Lasioglossum puncticolle,F,Anthophila,1
Pan,2,Agroforestry,TG,0.5,5,2018,NA,NA,NA,0
Pan,2,Agroforestry,TH,0,5,2018,NA,NA,NA,0
Pan,2,Agroforestry,TI,0,5,2018,NA,NA,NA,0
Pan,2,Agroforestry,TJ,0.5,5,2018,NA,NA,NA,0
Pan,2,Agroforestry,TK,5,5,2018,NA,NA,NA,0
Pan,2,Agroforestry,TL,9.5,5,2018,NA,NA,NA,0
Pan,2,Agroforestry,TM,9.5,5,2018,NA,NA,NA,0
Pan,2,Agroforestry,TN,5,5,2018,NA,NA,NA,0
Pan,2,Agroforestry,TO,0.5,5,2018,NA,NA,NA,0
Pan,2,Agroforestry,TP,0,5,2018,NA,NA,NA,0
Pan,3,Arable,CA,0,5,2018,NA,NA,NA,0
Pan,3,Arable,CB,0.5,5,2018,NA,NA,NA,0
Pan,3,Arable,CC,5,5,2018,NA,NA,NA,0
Pan,3,Arable,CD,9.5,5,2018,NA,NA,NA,0
Pan,3,Arable,CE,9.5,5,2018,NA,NA,NA,0
Pan,3,Arable,CG,0.5,5,2018,NA,NA,NA,0
Pan,3,Arable,CH,0,5,2018,Melanostoma mellinum,Unknown,Syrphidae,1
Pan,3,Arable,CI,0,5,2018,Andrena nigroaenea,F,Anthophila,1
Pan,3,Arable,CJ,0.5,5,2018,NA,NA,NA,0
Pan,3,Arable,CK,5,5,2018,NA,NA,NA,0
Pan,3,Arable,CL,9.5,5,2018,Melanostoma mellinum,Unknown,Syrphidae,1
Pan,3,Arable,CM,9.5,5,2018,NA,NA,NA,0
Pan,3,Arable,CN,5,5,2018,NA,NA,NA,0
Pan,3,Arable,CO,0.5,5,2018,Andrena nigroaenea,F,Anthophila,2
Pan,3,Arable,CO,0.5,5,2018,Andrena cineraria,F,Anthophila,1
Pan,3,Arable,CP,0,5,2018,NA,NA,NA,0
Pan,3,Agroforestry,TA,0,5,2018,Lasioglossum calceatum,F,Anthophila,1
Pan,3,Agroforestry,TB,0.5,5,2018,Andrena haemorrhoa,F,Anthophila,1
Pan,3,Agroforestry,TC,5,5,2018,Lasioglossum albipes,F,Anthophila,1
Pan,3,Agroforestry,TC,5,5,2018,Andrena subopaca,F,Anthophila,1
Pan,3,Agroforestry,TD,9.5,5,2018,Melanostoma mellinum,Unknown,Syrphidae,1
Pan,3,Agroforestry,TE,9.5,5,2018,Platycheirus peltatus,Unknown,Syrphidae,1
Pan,3,Agroforestry,TF,5,5,2018,Lasioglossum puncticolle,F,Anthophila,1
Pan,3,Agroforestry,TG,0.5,5,2018,Lasioglossum leucozonium,F,Anthophila,1
Pan,3,Agroforestry,TH,0,5,2018,NA,NA,NA,0
Pan,3,Agroforestry,TI,0,5,2018,Andrena subopaca,F,Anthophila,1
Pan,3,Agroforestry,TI,0,5,2018,Lasioglossum calceatum,F,Anthophila,1
Pan,3,Agroforestry,TJ,0.5,5,2018,Lasioglossum malachurum,F,Anthophila,1
Pan,3,Agroforestry,TK,5,5,2018,NA,NA,NA,0
Pan,3,Agroforestry,TL,9.5,5,2018,Lasioglossum albipes,F,Anthophila,1
Pan,3,Agroforestry,TM,9.5,5,2018,NA,NA,NA,0
Pan,3,Agroforestry,TO,0.5,5,2018,NA,NA,NA,0
Pan,3,Agroforestry,TP,0,5,2018,Lasioglossum albipes,F,Anthophila,2
Pan,1,Arable,CA,0,6,2018,NA,NA,NA,0
Pan,1,Arable,CB,0.5,6,2018,NA,NA,NA,0
Pan,1,Arable,CC,5,6,2018,NA,NA,NA,0
Pan,1,Arable,CD,9.5,6,2018,NA,NA,NA,0
Pan,1,Arable,CE,9.5,6,2018,NA,NA,NA,0
Pan,1,Arable,CE,9.5,6,2018,Apis mellifera,Unknown,Anthophila,1
Pan,1,Arable,CF,5,6,2018,Andrena nigroaenea,F,Anthophila,1
Pan,1,Arable,CG,0.5,6,2018,Andrena nigroaenea,F,Anthophila,1
Pan,1,Arable,CH,0,6,2018,NA,NA,NA,0
Pan,1,Arable,CI,0,6,2018,NA,NA,NA,0
Pan,1,Arable,CJ,0.5,6,2018,NA,NA,NA,0
Pan,1,Arable,CK,5,6,2018,Andrena nigroaenea,F,Anthophila,1
Pan,1,Arable,CL,9.5,6,2018,NA,NA,NA,0
Pan,1,Arable,CM,9.5,6,2018,NA,NA,NA,0
Pan,1,Arable,CN,5,6,2018,NA,NA,NA,0
Pan,1,Arable,CO,0.5,6,2018,NA,NA,NA,0
