site,year,treatment,n.pantraps ,treatment.dist,crop.stage,margin,hedges,boundary.area
3,2011,af,6,120,cereal,130,0,4860
3,2011,c,6,120,cereal,81,0,5460
3,2012,af,12,120,cereal,130,0,4860
3,2012,c,12,120,cereal,81,0,5460
1,2018,af,16,0,osr,55,4,5103
1,2018,c,16,0,osr,63,4,9828
2,2018,af,16,0,cereal,83,3,4198
2,2018,c,16,0,cereal,53,2,2121
3,2018,af,16,800,cereal,125,0,5868
3,2018,c,16,800,cereal,86,0,7583
1,2019,af,16,0,cereal,55,4,5103
1,2019,c,16,0,cereal,63,4,9828
2,2019,af,16,0,cereal,83,3,4198
2,2019,c,16,0,cereal,53,2,2121
3,2019,af,16,800,cereal,125,0,5868
3,2019,c,16,800,cereal,86,0,7583
1,2023,af,16,0,cereal/ley,79,4,5103
1,2023,c,16,0,cereal/ley,37,4,8881
2,2023,af,16,0,cereal,80,3,4198
2,2023,c,16,0,cereal,58,2,2121
3,2023,af,16,800,cereal,104,0,5868
3,2023,c,16,800,cereal,77,0,7583
