month,date,site,treatment,recorder,quadrat,perc_cover,spp,spp_perc,spp_fu,notes
march,17/03/2023,FE,AF,EK,1A,0,na,na,na,
march,17/03/2023,FE,AF,EK,1B,0,na,na,na,
march,17/03/2023,FE,AF,EK,1C,0,na,na,na,
march,17/03/2023,FE,AF,EK,2A,0,na,na,na,
march,17/03/2023,FE,AF,EK,2B,0,na,na,na,
march,17/03/2023,FE,AF,EK,2C,0,na,na,na,
march,17/03/2023,FE,AF,EK,3A,0,na,na,na,
march,17/03/2023,FE,AF,EK,3B,0,na,na,na,
march,17/03/2023,FE,AF,EK,3C,0,na,na,na,
march,17/03/2023,FE,AF,EK,4A,0,na,na,na,
march,17/03/2023,FE,AF,EK,4B,0,na,na,na,
march,17/03/2023,FE,AF,EK,4C,0,na,na,na,
march,17/03/2023,FE,AF,EK,5A,0,na,na,na,
march,17/03/2023,FE,AF,EK,5B,0,na,na,na,
march,17/03/2023,FE,AF,EK,5C,0,na,na,na,
march,17/03/2023,FE,AF,EK,6A,0,na,na,na,
march,17/03/2023,FE,AF,EK,6B,0,na,na,na,
march,17/03/2023,FE,AF,EK,6C,0,na,na,na,
march,17/03/2023,FE,AF,EK,M1A,0,na,na,na,
march,17/03/2023,FE,AF,EK,M1B,0,na,na,na,
march,17/03/2023,FE,AF,EK,M1C,0,na,na,na,
march,17/03/2023,FE,AF,EK,M2A,0,na,na,na,
march,17/03/2023,FE,AF,EK,M2B,0,na,na,na,
march,17/03/2023,FE,AF,EK,M2C,0,na,na,na,
march,17/03/2023,FE,AF,EK,M3A,0,na,na,na,
march,17/03/2023,FE,AF,EK,M3B,0,na,na,na,
march,17/03/2023,FE,AF,EK,M3C,0,na,na,na,
march,18/03/2023,FE,C,EK,1A,0,na,na,na,
march,18/03/2023,FE,C,EK,1B,0,na,na,na,
march,18/03/2023,FE,C,EK,1C,0,na,na,na,
march,18/03/2023,FE,C,EK,2A,0,na,na,na,
march,18/03/2023,FE,C,EK,2B,0,na,na,na,
march,18/03/2023,FE,C,EK,2C,0,na,na,na,
march,18/03/2023,FE,C,EK,3A,0,na,na,na,
march,18/03/2023,FE,C,EK,3B,0,na,na,na,
march,18/03/2023,FE,C,EK,3C,0,na,na,na,
march,18/03/2023,FE,C,EK,4A,0,na,na,na,
march,18/03/2023,FE,C,EK,4B,0,na,na,na,
march,18/03/2023,FE,C,EK,4C,0,na,na,na,
march,18/03/2023,FE,C,EK,5A,0,na,na,na,
march,18/03/2023,FE,C,EK,5B,0,na,na,na,
march,18/03/2023,FE,C,EK,5C,0,na,na,na,
march,18/03/2023,FE,C,EK,6A,0,na,na,na,
march,18/03/2023,FE,C,EK,6B,0,na,na,na,
march,18/03/2023,FE,C,EK,6C,0,na,na,na,
march,18/03/2023,FE,C,EK,M1A,0,na,na,na,
march,18/03/2023,FE,C,EK,M1B,0,na,na,na,
march,18/03/2023,FE,C,EK,M1C,0,na,na,na,
march,18/03/2023,FE,C,EK,M3A,0,na,na,na,
march,18/03/2023,FE,C,EK,M3B,0,na,na,na,
march,18/03/2023,FE,C,EK,M3C,0,na,na,na,
march,23/03/2023,WH,AF,EK,1A,0,na,na,na,
march,23/03/2023,WH,AF,EK,1B,0,na,na,na,
march,23/03/2023,WH,AF,EK,1C,0,na,na,na,
march,23/03/2023,WH,AF,EK,2A,0,na,na,na,
march,23/03/2023,WH,AF,EK,2B,0,na,na,na,
march,23/03/2023,WH,AF,EK,2C,0,na,na,na,
march,23/03/2023,WH,AF,EK,3A,0,na,na,na,
march,23/03/2023,WH,AF,EK,3B,0,na,na,na,
march,23/03/2023,WH,AF,EK,3C,0,na,na,na,
march,23/03/2023,WH,AF,EK,4A,0,na,na,na,
march,23/03/2023,WH,AF,EK,4B,0,na,na,na,
march,23/03/2023,WH,AF,EK,4C,0,na,na,na,
march,23/03/2023,WH,AF,EK,5A,0,na,na,na,
march,23/03/2023,WH,AF,EK,5B,0,na,na,na,
march,23/03/2023,WH,AF,EK,5C,0,na,na,na,
march,23/03/2023,WH,AF,EK,6A,1,red dead nettle,1,9,
march,23/03/2023,WH,AF,EK,6B,0,na,na,na,
march,23/03/2023,WH,AF,EK,6C,0,na,na,na,
march,23/03/2023,WH,AF,EK,M1A,0,na,na,na,
march,23/03/2023,WH,AF,EK,M1B,0,na,na,na,
march,23/03/2023,WH,AF,EK,M1C,0,na,na,na,
march,23/03/2023,WH,AF,EK,M2A,0,na,na,na,
march,23/03/2023,WH,AF,EK,M2B,0,na,na,na,
march,23/03/2023,WH,AF,EK,M2C,0,na,na,na,
march,23/03/2023,WH,AF,EK,M3A,0,na,na,na,
march,23/03/2023,WH,AF,EK,M3B,0,na,na,na,
march,23/03/2023,WH,AF,EK,M3C,0,na,na,na,
march,20/03/2023,WH,C,EK,1A,0,na,na,na,
march,20/03/2023,WH,C,EK,1B,0,na,na,na,
march,20/03/2023,WH,C,EK,1C,0,na,na,na,
