Site,FarmingSystem,Method,SampleRef,DistanceFromTR,Month,Percentage,Year,Taxon
1,Agroforestry,quadrat,TG,0.5,6,3,2018,Galium aparine
1,Agroforestry,quadrat,TB,0.5,6,10,2018,Veronica persica
1,Agroforestry,quadrat,TG,0.5,6,3,2018,Veronica persica
1,Agroforestry,quadrat,TC,5,6,5,2018,Bryophyte
1,Agroforestry,quadrat,TD,9.5,6,15,2018,Bryophyte
1,Agroforestry,quadrat,TE,9.5,6,5,2018,Bryophyte
1,Agroforestry,quadrat,TF,5,6,10,2018,Bryophyte
1,Agroforestry,quadrat,TG,0.5,6,10,2018,Bryophyte
1,Agroforestry,quadrat,TC,5,6,3,2018,Poaceae
1,Agroforestry,quadrat,TB,0.5,6,3,2018,Picris echioides
1,Agroforestry,quadrat,TB,0.5,6,1,2018,Tripleurospermum inodorum
1,Agroforestry,quadrat,TJ,0.5,6,3,2018,Leucanthemum vulgare
1,Agroforestry,quadrat,TO,0.5,6,3,2018,Leucanthemum vulgare
1,Agroforestry,quadrat,TJ,0.5,6,3,2018,Alopecurus myosuroides
1,Agroforestry,quadrat,TK,5,6,3,2018,Alopecurus myosuroides
1,Agroforestry,quadrat,TO,0.5,6,3,2018,Alopecurus myosuroides
1,Agroforestry,quadrat,TK,5,6,3,2018,Poaceae
1,Agroforestry,quadrat,TL,9.5,6,3,2018,Poaceae
1,Agroforestry,quadrat,TM,9.5,6,3,2018,Poaceae
1,Agroforestry,quadrat,TO,0.5,6,3,2018,Poaceae
1,Agroforestry,quadrat,TJ,0.5,6,10,2018,Bryophyte
1,Agroforestry,quadrat,TK,5,6,15,2018,Bryophyte
1,Agroforestry,quadrat,TL,9.5,6,5,2018,Bryophyte
1,Agroforestry,quadrat,TM,9.5,6,5,2018,Bryophyte
1,Agroforestry,quadrat,TN,5,6,5,2018,Bryophyte
1,Agroforestry,quadrat,TO,0.5,6,10,2018,Bryophyte
1,Agroforestry,quadrat,TJ,0.5,6,3,2018,Epilobium
1,Agroforestry,quadrat,TL,9.5,6,3,2018,Epilobium
1,Agroforestry,quadrat,TJ,0.5,6,3,2018,Geranium dissectum
1,Agroforestry,quadrat,TJ,0.5,6,3,2018,Euphorbia
1,Arable,quadrat,CD,9.5,6,3,2018,Picris echioides
1,Arable,quadrat,CB,0.5,6,3,2018,Poaceae
1,Arable,quadrat,CC,5,6,3,2018,Poaceae
1,Arable,quadrat,CD,9.5,6,3,2018,Poaceae
1,Arable,quadrat,CD,9.5,6,3,2018,Leucanthemum vulgare
1,Arable,quadrat,CC,5,6,3,2018,Galium aparine
1,Arable,quadrat,CD,9.5,6,3,2018,Galium aparine
1,Arable,quadrat,CE,9.5,6,3,2018,Galium aparine
1,Arable,quadrat,CD,9.5,6,3,2018,Epilobium
1,Arable,quadrat,CE,9.5,6,3,2018,Epilobium
1,Arable,quadrat,CG,0.5,6,3,2018,Epilobium
1,Arable,quadrat,CA,0,6,0,2018,Epilobium
1,Arable,quadrat,CA,0,6,5,2018,Bryophyte
1,Arable,quadrat,CB,0.5,6,5,2018,Bryophyte
1,Arable,quadrat,CC,5,6,5,2018,Bryophyte
1,Arable,quadrat,CD,9.5,6,5,2018,Bryophyte
1,Arable,quadrat,CE,9.5,6,5,2018,Bryophyte
1,Arable,quadrat,CF,5,6,10,2018,Bryophyte
1,Arable,quadrat,CG,0.5,6,5,2018,Bryophyte
1,Arable,quadrat,CH,0,6,5,2018,Bryophyte
1,Arable,quadrat,CA,0,6,3,2018,Dicot
1,Arable,quadrat,CG,0.5,6,3,2018,Dicot
1,Arable,quadrat,CE,9.5,6,3,2018,Geranium dissectum
1,Arable,quadrat,CF,5,6,25,2018,Geranium dissectum
1,Arable,quadrat,CI,0,6,20,2018,Bryophyte
1,Arable,quadrat,CJ,0.5,6,5,2018,Bryophyte
1,Arable,quadrat,CK,5,6,15,2018,Bryophyte
1,Arable,quadrat,CL,9.5,6,5,2018,Bryophyte
1,Arable,quadrat,CM,9.5,6,20,2018,Bryophyte
