year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1891,9.9,0.8,9.3,9.3,16.2,8.7,13,20.2,11.3,19.4,13,17.4,---,34.8,42,43.8,148.6
1892,11.9,11,5.4,6.6,12.2,12.6,9.7,12.1,11.6,16.1,10.3,10,40.2,24.2,34.3,37.9,129.3
1893,10.9,17.2,3.7,2.7,8.5,7.2,14.8,11.4,9.6,12.5,10.4,13.7,38.1,14.9,33.4,32.4,122.5
1894,16.6,12.1,8.7,12,12.9,10.8,13.5,15.1,5.6,14.1,10.9,12.4,42.4,33.7,39.4,30.6,144.8
1895,17.3,2,14.4,10.3,4.1,6.3,14,13.9,4.5,13.1,17.3,12.4,31.7,28.7,34.2,34.9,129.6
1896,6.9,4.7,18.4,9.1,2.5,12,9,11.9,20,17.6,6,17.8,24.1,30,32.9,43.5,135.8
1897,11.1,11.5,16.7,13.5,8.6,11,5.5,17.3,10.8,6.6,9.8,14.3,40.4,38.9,33.8,27.2,136.9
1898,4.8,11.3,7.7,10.8,16.5,10.2,4.7,12.7,2.4,13.1,10.2,11.5,30.5,35,27.6,25.8,116.1
1899,17,10,6.5,15.3,12.7,6.6,7.4,6.4,14.7,9,8.1,12.7,38.5,34.6,20.4,31.8,126.4
1900,18.3,16.5,6.3,8.5,9.3,15.1,9.9,15.5,5,16.3,16.7,16.6,47.6,24.1,40.5,38,154.1
1901,11.2,8.8,12.8,13.2,7,9.2,8.2,10,8.3,12.2,7.2,17.5,36.5,33,27.4,27.8,125.5
1902,8.2,8.8,9.4,10,15.6,13,9.3,16.7,8.4,13,11,10.3,34.5,34.9,39,32.4,133.7
1903,13.5,8.1,17.3,10.2,14.6,7.8,12.9,15.6,12.9,25.3,10.4,9.7,32,42.2,36.3,48.5,158.3
1904,16.5,17.1,11.4,10,12.1,5.9,9.6,11.3,8.1,5.8,8,11.8,43.3,33.6,26.7,21.9,127.6
1905,7.6,7.4,17.3,14.8,3.7,11.5,6.3,16.8,8.8,9.9,14,5.6,26.7,35.8,34.7,32.8,123.8
1906,17.4,14,11.1,8.3,13.9,9.3,6.9,10.9,5.1,19,12.8,16.1,36.9,33.3,27.1,37,144.8
1907,6.7,9.4,9.1,13.7,15.4,17.9,13.8,12.7,4.1,19.6,11.6,13.6,32.2,38.2,44.4,35.4,147.7
1908,7.9,10.3,15.7,12.1,12.5,6.5,10.4,13.1,12.6,7.8,9.8,14.7,31.8,40.3,30,30.2,133.4
1909,8.5,4.2,15.4,11,7.8,13,14.4,10.6,13.9,19.7,6.2,19.1,27.5,34.2,38.1,39.8,143.9
1910,14.6,18.4,5.1,13.6,14.8,10.9,11.2,15.3,2.3,11.1,14.6,18.1,52.1,33.6,37.4,28,150
1911,6.2,11.3,11.1,7.9,5.9,9.5,2.7,8.6,8.4,12.3,15.4,21.6,35.7,25,20.7,36.1,120.9
1912,16.7,12.1,18.3,1.8,10.3,20.5,14.7,21.9,5.4,10,10.3,15.8,50.3,30.3,57.1,25.8,157.7
1913,13.8,7,17.7,14.7,11.4,7.2,6.9,7.7,10,13,14.4,7,36.5,43.8,21.9,37.4,130.7
1914,8.1,11.9,18.8,7.5,10.6,7.9,14.5,10.9,7.4,10.4,15.9,20.7,27,36.8,33.3,33.6,144.5
1915,15.2,15.7,7,8,8.5,5.6,17,13.5,4.6,8.3,7.4,21.7,51.7,23.6,36.1,20.4,132.8
1916,10,19.5,17.3,9.5,11.7,11.6,10.2,11.9,7.1,20,12.5,13.9,51.2,38.5,33.7,39.6,155.3
1917,9.8,6.5,13.1,11.4,9.7,11,8.1,22.3,7.9,16.6,10.5,7.9,30.2,34.2,41.3,35.1,134.8
1918,11.1,12,6.7,10.4,9.1,6.9,15.9,8.6,22.4,12.8,10.3,18,31,26.2,31.4,45.5,144.2
1919,17.4,8.6,14.3,11.9,5.7,7.8,10,10.1,9.7,8.6,12.7,18.8,44,31.9,27.9,31,135.6
1920,14.8,7.9,13.7,21.5,12.5,10.5,18.4,7.8,9.8,9.3,7.1,13.4,41.6,47.8,36.8,26.2,146.9
1921,14.9,1.6,12.1,8.2,10.7,3.3,4.3,14.1,4.5,8,8.6,13.4,29.8,31,21.7,21.1,103.7
1922,18.1,15.1,12.9,15.1,6.7,8.2,16.4,14.2,11.6,5.6,7.3,14.8,46.6,34.7,38.7,24.5,145.9
1923,10.2,20.9,11.1,12,12.9,5,11.8,13.6,12.2,18.1,10.5,14,45.9,36,30.5,40.8,152.6
1924,13.5,6.3,6.1,11.6,18.7,11.2,14.3,16,16.7,13.8,9.2,14.1,33.9,36.4,41.5,39.7,151.6
1925,9.9,16.8,7,13.5,17,0.7,9.5,13.1,12.6,12.2,9,13.4,40.9,37.5,23.3,33.8,134.7
1926,16.9,11.9,5.2,12.7,15.1,11.1,10.7,11.5,9.8,11.7,18.7,5.6,42.2,32.9,33.4,40.1,140.9
1927,15,11.7,14.8,10.9,7.7,16.3,13.9,18.1,15.2,10.9,12.1,8.9,32.2,33.5,48.4,38.2,155.5
1928,19.6,11.7,13.3,9,7.6,14.7,5.8,12.9,5,17.7,16.4,12.3,40.2,29.9,33.4,39.1,146.1
1929,7.9,4.5,1.5,7.5,9.2,8.9,7.7,10.8,3.5,13.1,18.1,20.8,24.7,18.3,27.4,34.6,113.4
1930,15.6,5.1,9.9,14.3,11.7,7.6,13.9,15,13.9,15.4,14.7,14.6,41.4,35.9,36.5,44,151.6
1931,13.3,15.2,2.4,16.4,12.5,12.7,16.1,13.6,9.6,5.1,15.6,7.4,43.1,31.3,42.4,30.3,139.9
1932,9.9,2.3,9.6,19,16.8,3.9,14,6.7,14,18.1,10.6,8.1,19.6,45.5,24.7,42.7,133.2
1933,11.5,10.9,11.8,6.7,11.2,10.7,10.1,5.5,7.3,13.3,7.6,4.3,30.5,29.7,26.2,28.2,110.9
