Spp,FlightPeriod,WingLength,LarvalDiet,DurationOfDevelopment,OverwinteringPhase,Voltinism
Cheilosia griseiventris,6,8.75,Phytophagous,8.263888889,2,1.3125
Cheilosia vernalis,8,5.625,Phytophagous,6.5,2,2
Chrysogaster solstitialis,6,6.625,Saprophagous,9.5,1,1.5
Chrysotoxum bicinctum,5,8.625,Aphidophagous,6.5,1,2
Episyrphus balteatus,12,8.125,Aphidophagous,1.75,3,2.75
Eristalinus sepulchralis,7,7.25,Saprophagous,3.9,1,3
Eristalis abusivus,8,8.75,Saprophagous,4,1,2
Eristalis arbustorum,8,8.5,Saprophagous,2.5,1,2.75
Eristalis nemorum,7,9.375,Saprophagous,4,1,2
Eristalis pertinax,9,10.5,Saprophagous,3.9,1,3
Eristalis tenax,12,11.375,Saprophagous,2.5,3,3
Eumerus funeralis,7,4.75,Phytophagous,9.5,1,1.25
Eumerus strigatus,6,5.125,Phytophagous,5.833333,1,1.666666667
Eupeodes corollae,9,6.625,Aphidophagous,1.75,2,2.75
Eupeodes latifasciatus,8,7.5,Aphidophagous,4.625,1,2
Eupeodes luniger,9,8.25,Aphidophagous,2.5,2,2.25
Helophilus hybridus,7,9.875,Saprophagous,6.5,1,1.5
Helophilus pendulus,8,9.875,Saprophagous,3.9,1,3
Lejogaster metallina,6,5.625,Saprophagous,8.125,1,1.25
Melanostoma mellinum,7,5.875,Aphidophagous,3.9,1,3
Eumerus strigatus,8,5.175,Phytophagous,5.833333,1,1.666666667
Myathropa florea,6,9.5,Saprophagous,4.8333333,1,2.25
Neoascia podagrica,8,4.25,Saprophagous,4.625,1,2
Neoascia tenur,8,4.125,Saprophagous,4.625,1,2
Pipizella viduata,5,4.5,Aphidophagous,4.8333333,1,1.25
Platycheirus albimanus,9,6.5,Aphidophagous,3.9,1,2.5
Platycheirus clypeatus,7,6.25,Aphidophagous,3.9,1,2.25
Platycheirus manicatus,8,7.875,Aphidophagous,6.5,1,1.75
Platycheirus peltatus,8,8,Aphidophagous,6.5,1,1
Scaeva pyrastri,7,10.875,Aphidophagous,3,2.5,2.5
Sphaerophoria scripta,8,6,Aphidophagous,3.9,1.5,2.5
Syritta pipiens,8,5.625,Saprophagous,3.9,1,2.5
Syrphus ribesii,9,9.375,Aphidophagous,3.916666667,1,2.5
Tropidia scita,6,6.875,Saprophagous,9.5,1,1
